key	sci	en	de	fr	nl	el	es	it	sv	hr	sr	bs	bg	tr	sq	breadth	importance	dangerous	already_in
tricholoma_matsutake	Tricholoma matsutake								Goliatmusseron							narrow	5	no	FI,JP,KR,SE
tricholoma_murrillianum	Tricholoma murrillianum	Matsutake		Matsutaké												mid	5	no	CA,US
tricholoma_muscarium	Tricholoma muscarium															narrow	4	yes	KR
tricholoma_pardinum	Tricholoma pardinum		Tigerritterling	Tricholome tigré			Atigrado	Agarico tigrino								narrow	5	yes	AT,CH,ES,IT,PL
tricholoma_populinum	Tricholoma populinum	Cottonwood mushroom		Tricholome du peuplier									Тополовка			narrow	4	no	KG,KZ,TJ,TM,UA,UZ
tricholoma_portentosum	Tricholoma portentosum			Tricholome prétentieux			Capuchina		Streckmusseron				Саждива гъба			narrow	4	no	BG,BY,CZ,ES,FI,FR,GE,JP,KZ,LT,MD,NO,PL,PT,RU,SK,UA
tricholoma_sciodes	Tricholoma sciodes							False morette								mid	4	yes	IT
tricholoma_sejunctum	Tricholoma sejunctum						Clavo de bosque			Kružoliske						broad	3	no	BY
tricholoma_terreum	Tricholoma terreum			Petit gris		Σκολίνι	Negrilla	Morette			Miška	Miška	Обикновена есенна гъба	Karaoğlan		narrow	4	no	AL,AM,BA,BG,CY,ES,FR,GR,HU,IT,PT,TR
tricholoma_ustale	Tricholoma ustale						Pechuga									narrow	5	yes	JP,KR
tuber_aestivum	Tuber aestivum		Sommertrüffel	Truffe de Bourgogne		Μαύρη καλοκαιρινή τρούφα	Trufa de verano	Scorzone			Letnji tartuf	Ljetni tartuf	Летен трюфел		Tartufi i zi i verës	narrow	5	no	AL,AZ,BA,CH,ES,GR,HU,IT,RO,RS
tuber_aestivum__2	Tuber aestivum									Tartuf				Trüf mantarı		broad	5	no	HR
tuber_borchii	Tuber borchii							Bianchetto								narrow	4	no	IT
tuber_macrosporum	Tuber macrosporum							Tartufo nero liscio			Tartuf					narrow	4	no	RS
tuber_magnatum	Tuber magnatum							Tartufo bianco				Bijeli tartuf			Tartufi i bardhë	narrow	5	no	AL,BA,IT,RO
tuber_melanosporum	Tuber melanosporum			Truffe du Périgord			Trufa negra	Tartufo nero pregiato							Tartufi i zi	narrow	5	no	AL,ES,FR,IT,RO
turbinellus_floccosus	Turbinellus floccosus						Corneta									narrow	4	no	MX
turbinellus_kauffmanii	Turbinellus kauffmanii						Corneta blanca									narrow	3	no	MX
tylopilus_felleus	Tylopilus felleus	Bitter bolete	Gallenröhrling	Bolet de fiel	Bittere boleet			Falso porcino	Gallsopp				Горчива манатарка			narrow	5	no	AM,AT,BE,BG,BY,CH,CY,CZ,DE,DK,EE,FI,HU,IT,KG,KZ,LT,LV,MD,NO,PL,RU,SI,SK,UA
umbilicaria_esculenta	Umbilicaria esculenta															narrow	4	no	KR
ustilago_maydis	Ustilago maydis	Huitlacoche					Cuitlacoche									narrow	5	no	MX
verpa_bohemica	Verpa bohemica										Češka smrčkovica			Yalancı kuzugöbeği		narrow	4	no	HU,KG,LV,TJ,TM,TR,UZ
volvariella_bombycina	Volvariella bombycina						Hongo de ochote									narrow	5	no	MX,TM
volvariella_volvacea	Volvariella volvacea	Paddy straw mushroom														narrow	4	yes	NZ
wolfiporia_cocos	Wolfiporia cocos															narrow	4	no	KR
xerocomellus_chrysenteron	Xerocomellus chrysenteron		Rotfußröhrling	Bolet à chair jaune							Zlatača		Червенокрака манатарка			mid	5	no	AZ,BY,CZ,LU,LV,MD,PT,UA
xerocomus_subtomentosus	Xerocomus subtomentosus		Ziegenlippe								Velika podstavka		Кадифена манатарка			narrow	4	no	AT,HU,IS,KG,LT,PL,RO,RU,SK
xylaria_hypoxylon	Xylaria hypoxylon	Candlesnuff fungus														narrow	3	no	GB
